time,average_part_size,mass_of_pm1,mass_of_pm2,mass_of_pm4,mass_of_pm10,number_of_pm0,number_of_pm1,number_of_pm2,number_of_pm4,number_of_pm10,pressure,temperature,board_temperature,humidity,wind_speed
2021-12-30T16:00:00Z,0.56,28.92,32.6,34.2,35.09,193.69,227.89,230.64,231.11,231.26,1001.58,6.8,8.65,73,0.41
2021-12-30T17:00:00Z,0.46,37.52,39.67,39.67,39.67,257.81,298.6,299.43,299.52,299.58,1002.4,5.9,6.96,79,0.9
2021-12-30T18:00:00Z,0.49,27.25,30.41,31.68,32.38,183.22,215.03,217.3,217.69,217.81,1003.01,5,6.03,83,1.01
2021-12-30T19:00:00Z,0.51,35.81,38.51,39.03,39.31,244.43,284.25,285.72,285.93,286.02,1003.82,4.8,5.8,85,1.28
2021-12-30T20:00:00Z,0.48,33.44,36.14,36.76,37.1,227.81,265.23,266.79,267.02,267.11,1004.13,3.9,5.06,83,1.11
2021-12-30T21:00:00Z,0.44,24.3,25.69,25.69,25.69,166.95,193.37,193.91,193.96,194,1004.33,3.7,4.48,79,0.89
2021-12-30T22:00:00Z,0.53,39.63,44.46,46.5,47.62,265.86,312.44,316,316.61,316.79,1004.65,2.8,3.7,78,0.79
2021-12-30T23:00:00Z,0.51,39.4,43.83,45.56,46.51,265.26,311.06,314.21,314.73,314.9,1004.62,3.2,3.82,79,1.29
2021-12-31T00:00:00Z,0.47,39.53,43.25,44.4,45.03,268.02,312.98,315.37,315.75,315.89,1004.18,2.7,3.53,79,1.33
2021-12-31T01:00:00Z,0.45,32.82,34.7,34.7,34.7,225.51,261.19,261.92,261.99,262.04,1004.02,2.7,3.4,80,1.7
2021-12-31T02:00:00Z,0.43,42.02,44.43,44.43,44.43,288.71,334.39,335.33,335.42,335.49,1004.09,2.9,3.62,80,1.09
2021-12-31T03:00:00Z,0.59,38.03,42.9,45.04,46.22,254.53,299.55,303.21,303.84,304.03,1004.07,2.5,3.21,80,1.19
2021-12-31T04:00:00Z,0.49,37.75,41.15,42.13,42.67,256.28,299,301.13,301.46,301.58,1003.73,1.5,2.61,84,1.07
2021-12-31T05:00:00Z,0.54,34.43,38.98,41.03,42.16,230.1,271.05,274.51,275.11,275.29,1003.53,1.7,2.61,80,1.07
2021-12-31T06:00:00Z,0.47,37.09,39.81,40.29,40.55,253.36,294.5,295.95,296.15,296.24,1003.73,1.3,2.04,80,1.29
2021-12-31T07:00:00Z,0.46,36.2,38.28,38.28,38.28,248.74,288.1,288.9,288.98,289.04,1003.95,1.3,1.89,76,1.59
2021-12-31T08:00:00Z,0.45,32.52,34.39,34.39,34.39,223.44,258.8,259.52,259.59,259.65,1004.43,1.6,2.18,75,1.81
2021-12-31T09:00:00Z,0.43,29.54,31.24,31.24,31.24,202.99,235.11,235.77,235.83,235.88,1004.73,4.1,4.96,72,2.02
2021-12-31T10:00:00Z,0.51,31.42,35.42,37.18,38.15,210.32,247.49,250.5,251.02,251.17,1005.07,8.6,10.17,61,1.19
2021-12-31T11:00:00Z,0.42,26.6,28.13,28.13,28.13,182.77,211.69,212.28,212.34,212.38,1004.82,14.4,18.51,42,1.02
2021-12-31T12:00:00Z,0.39,24.37,25.78,25.78,25.78,167.49,193.99,194.53,194.59,194.63,1004.61,16.5,22.01,36,1.38
2021-12-31T13:00:00Z,0.53,28.16,32.64,34.91,36.16,186.34,220.87,224.49,225.13,225.31,1004.01,19,24.52,32,1.32
2021-12-31T14:00:00Z,0.39,26.99,28.54,28.54,28.54,185.46,214.8,215.4,215.46,215.51,1003.32,19.3,24.64,30,1.56
2021-12-31T15:00:00Z,0.46,50.89,53.82,53.82,53.82,349.69,405.02,406.15,406.27,406.35,1003.73,14.6,17.95,43,1.69
2021-12-31T16:00:00Z,0.41,34.31,36.28,36.28,36.28,235.73,273.03,273.8,273.87,273.93,1004.04,10.7,11.8,62,1.77
2021-12-31T17:00:00Z,0.39,35.68,37.73,37.73,37.73,245.15,283.94,284.73,284.81,284.87,1004.26,9,9.88,66,2
2021-12-31T18:00:00Z,0.5,35.14,38.55,39.66,40.27,237.95,278.06,280.3,280.66,280.78,1004.54,7.8,8.7,68,2.08
2021-12-31T19:00:00Z,0.56,47,51.5,52.93,53.72,318.43,371.99,374.92,375.39,375.56,1004.52,6.8,7.52,74,2.24
2021-12-31T20:00:00Z,0.45,40.83,43.18,43.18,43.18,280.58,324.97,325.88,325.97,326.03,1004.77,6,6.81,75,2.19
2021-12-31T21:00:00Z,0.51,50.7,54.96,56.04,56.63,344.96,401.93,404.47,404.86,405.01,1004.65,5.2,5.71,75,2.41
2021-12-31T22:00:00Z,0.49,36.37,39.24,39.86,40.2,247.94,288.55,290.17,290.41,290.51,1004.88,5.1,5.65,74,1.81
2021-12-31T23:00:00Z,0.49,27.48,30.11,30.94,31.4,186.22,217.53,219.24,219.51,219.6,1004.58,4.8,5.22,77,1.85
2022-01-01T00:00:00Z,0.51,44.69,49.04,50.46,51.24,302.58,353.6,356.47,356.93,357.08,1004.12,4.1,4.43,77,1.9
2022-01-01T01:00:00Z,0.46,34,35.95,35.95,35.95,233.61,270.57,271.33,271.4,271.46,1003.98,3.9,4.42,78,2.23
2022-01-01T02:00:00Z,0.49,23.26,26.01,27.13,27.75,156.28,183.5,185.5,185.84,185.94,1003.9,3.2,3.73,75,2.34
2022-01-01T03:00:00Z,0.44,24.04,25.42,25.42,25.42,165.19,191.32,191.86,191.91,191.95,1003.9,2.3,3,74,2.25
2022-01-01T04:00:00Z,0.47,30.41,32.65,33.04,33.25,207.75,241.48,242.67,242.84,242.91,1003.62,2.4,3.03,79,2.38
2022-01-01T05:00:00Z,0.44,16.82,17.79,17.79,17.79,115.61,133.9,134.27,134.31,134.34,1003.52,2.4,2.87,78,2.48
2022-01-01T06:00:00Z,0.4,17.6,18.61,18.61,18.61,120.93,140.06,140.45,140.49,140.52,1003.58,2.9,3.15,79,2.52
2022-01-01T07:00:00Z,0.44,21.96,23.22,23.22,23.22,150.87,174.74,175.23,175.28,175.32,1004.07,1.8,2.28,75,2.54
2022-01-01T08:00:00Z,0.49,19.97,22.03,22.77,23.17,134.89,157.86,159.26,159.5,159.57,1004.39,2,2.73,74,2.72
2022-01-01T09:00:00Z,0.47,10.39,11.2,11.38,11.48,70.82,82.41,82.87,82.94,82.97,1004.46,8,9.82,63,2.88
2022-01-01T10:00:00Z,0.39,10.82,11.44,11.44,11.44,74.35,86.11,86.35,86.38,86.39,1004.95,13.5,17.74,44,2.53
2022-01-01T11:00:00Z,0.53,11.1,12.59,13.28,13.66,74.1,87.34,88.49,88.68,88.74,1004.9,16.1,17.74,38,2.57
2022-01-01T12:00:00Z,0.47,12.61,14.25,14.99,15.39,84.32,99.28,100.53,100.75,100.81,1004.49,17.4,19.68,31,2.08
2022-01-01T13:00:00Z,0.52,15.72,17.92,18.96,19.53,104.71,123.58,125.29,125.59,125.68,1004.11,18.1,19.98,35,1.74
2022-01-01T14:00:00Z,0.45,18.86,19.94,19.94,19.94,129.57,150.07,150.49,150.53,150.56,1004.13,18.3,20.27,38,1.36
2022-01-01T15:00:00Z,0.47,11.67,12.65,12.9,13.03,79.42,92.54,93.12,93.21,93.24,1004.33,15.5,17.35,47,1.54
2022-01-01T16:00:00Z,0.42,20.22,21.38,21.38,21.38,138.95,160.94,161.39,161.43,161.47,1004.16,12.7,13.98,58,1.73
2022-01-01T17:00:00Z,0.39,20.95,22.16,22.16,22.16,143.99,166.77,167.24,167.28,167.32,1004.08,11,12.03,66,1.8
2022-01-01T18:00:00Z,0.44,19.72,20.85,20.85,20.85,135.49,156.93,157.37,157.41,157.45,1004.61,9.2,10.32,66,1.96
2022-01-01T19:00:00Z,0.5,25.75,27.81,28.28,28.53,175.5,204.29,205.47,205.65,205.72,1004.86,8.4,9.33,70,2.04
2022-01-01T20:00:00Z,0.59,19.63,22.86,24.54,25.47,129.56,153.78,156.43,156.9,157.03,1005.03,7.3,8.26,69,2.03
2022-01-01T21:00:00Z,0.4,31.16,32.95,32.95,32.95,214.14,248.02,248.71,248.78,248.83,1005.61,6.5,7.25,72,2.07
2022-01-01T22:00:00Z,0.46,25.93,27.42,27.42,27.42,178.19,206.39,206.97,207.02,207.07,1005.38,5.8,6.52,72,1.99
2022-01-01T23:00:00Z,0.42,33.69,35.63,35.63,35.63,231.53,268.16,268.91,268.99,269.04,1005.91,5.1,6.03,74,1.96
2022-01-02T00:00:00Z,0.48,29.01,31.87,32.81,33.33,196.37,229.54,231.43,231.73,231.84,1005.86,4.5,5.44,75,2.15
2022-01-02T01:00:00Z,0.45,24.99,26.43,26.43,26.43,171.72,198.89,199.45,199.5,199.54,1005.58,4.1,5.17,74,1.86
2022-01-02T02:00:00Z,0.5,24.41,26.59,27.21,27.55,165.73,193.34,194.7,194.91,194.98,1005.81,3.4,4.58,74,1.64
2022-01-02T03:00:00Z,0.49,24.53,27.38,28.52,29.15,164.96,193.59,195.64,195.99,196.1,1005.77,3.2,4.19,75,2
2022-01-02T04:00:00Z,0.42,18.58,19.64,19.64,19.64,127.65,147.84,148.26,148.3,148.33,1005.36,2.7,3.81,77,2.12
2022-01-02T05:00:00Z,0.51,27.97,30.38,31.02,31.37,190.2,221.71,223.17,223.39,223.48,1005.36,3.1,4.05,77,2.11
2022-01-02T06:00:00Z,0.41,17.8,18.82,18.82,18.82,122.31,141.66,142.06,142.1,142.13,1005.42,2.5,3.76,77,2.11
2022-01-02T07:00:00Z,0.46,16.97,17.95,17.95,17.95,116.64,135.1,135.47,135.51,135.54,1005.46,2.3,3.31,76,1.99
2022-01-02T08:00:00Z,0.45,17.85,18.88,18.88,18.88,122.69,142.1,142.5,142.54,142.57,1005.45,2.2,3.33,73,2.06
2022-01-02T09:00:00Z,0.41,19.38,20.5,20.5,20.5,133.19,154.26,154.69,154.73,154.76,1005.56,3.9,5,70,1.91
2022-01-02T10:00:00Z,0.43,15.58,16.48,16.48,16.48,107.06,124,124.35,124.39,124.41,1005.29,7.5,8.92,63,1.64
2022-01-02T11:00:00Z,0.38,16.56,17.51,17.51,17.51,113.78,131.79,132.15,132.19,132.22,1004.77,8.1,9.1,69,1.31
2022-01-02T12:00:00Z,0.39,12.36,13.07,13.07,13.07,84.93,98.37,98.64,98.67,98.69,1003.84,11.2,12.87,55,1.9
2022-01-02T13:00:00Z,0.45,15.84,16.75,16.75,16.75,108.87,126.1,126.45,126.48,126.51,1002.59,11.1,12.36,59,1.86
2022-01-02T14:00:00Z,0.44,16.74,17.7,17.7,17.7,115.02,133.22,133.59,133.63,133.66,1002.4,11.2,12.07,65,2.55
2022-01-02T15:00:00Z,0.41,16.21,17.14,17.14,17.14,111.38,129,129.36,129.4,129.43,1002.44,9.9,11.05,68,2.33
2022-01-02T16:00:00Z,0.42,33.91,35.86,35.86,35.86,233,269.87,270.62,270.7,270.75,1002.29,9.9,10.64,69,2.09
2022-01-02T17:00:00Z,0.43,21.14,22.35,22.35,22.35,145.23,168.21,168.68,168.73,168.76,1002.31,8.1,9.06,73,2.44
2022-01-02T18:00:00Z,0.49,35.01,38.72,40.08,40.83,236.28,276.67,279.23,279.65,279.79,1002.22,7.5,8.56,74,2.52
2022-01-02T19:00:00Z,0.42,30.62,32.38,32.38,32.38,210.42,243.72,244.4,244.46,244.51,1002.4,6.9,7.69,76,2.47
2022-01-02T20:00:00Z,0.45,41.83,44.23,44.23,44.23,287.42,332.89,333.82,333.92,333.98,1002.39,6.1,7.01,75,2.69
2022-01-02T21:00:00Z,0.46,41.33,43.71,43.71,43.71,284.02,328.96,329.88,329.97,330.04,1002.23,6.2,7.15,75,2.27
2022-01-02T22:00:00Z,0.49,32.02,35.16,36.21,36.78,216.7,253.3,255.38,255.72,255.83,1002.01,5.5,6.33,76,2.8
2022-01-02T23:00:00Z,0.46,34.26,36.23,36.23,36.23,235.41,272.66,273.42,273.5,273.55,1001.48,5.2,6.13,77,3.19
2022-01-03T00:00:00Z,0.46,52.13,55.13,55.13,55.13,358.22,414.89,416.05,416.17,416.25,1000.92,4.9,5.72,77,2.14
2022-01-03T01:00:00Z,0.49,40.01,42.7,43.01,43.18,273.98,318.02,319.31,319.48,319.56,1001.1,4.4,5.43,75,2.14
2022-01-03T02:00:00Z,0.41,24.42,25.82,25.82,25.82,167.77,194.32,194.86,194.91,194.95,1000.8,3.7,4.65,76,2.37
2022-01-03T03:00:00Z,0.52,42.88,47.71,49.61,50.65,288.65,338.52,341.96,342.53,342.72,1000.07,3.4,4.56,74,2.37
2022-01-03T04:00:00Z,0.52,31.15,34.55,35.84,36.55,209.98,246.06,248.44,248.84,248.96,999.92,3.1,4.08,73,2.37
2022-01-03T05:00:00Z,0.53,34.56,37.97,39.1,39.73,233.89,273.42,275.68,276.04,276.17,999.42,3.1,4.03,74,2.14
2022-01-03T06:00:00Z,0.43,37.08,39.21,39.21,39.21,254.8,295.12,295.94,296.02,296.08,999.18,2.2,3.29,73,2.14
2022-01-03T07:00:00Z,0.5,34.23,37.11,37.84,38.24,232.89,271.35,273.07,273.33,273.43,998.79,2.6,3.5,77,2.14
2022-01-03T08:00:00Z,0.45,26.96,28.5,28.5,28.5,185.22,214.53,215.13,215.19,215.24,999.4,2.8,3.61,75,0.38
2022-01-03T09:00:00Z,0.49,37.69,41.43,42.7,43.39,254.96,298.1,300.6,301,301.14,1000.17,3.6,4.6,76,0.38
2022-01-03T10:00:00Z,0.43,37.63,39.79,39.79,39.79,258.54,299.45,300.29,300.37,300.43,999.96,4.8,5.89,75,0.38
2022-01-03T11:00:00Z,0.52,51.02,56.05,57.72,58.64,345.28,403.62,406.95,407.49,407.67,998.92,5.8,6.76,83,1
2022-01-03T12:00:00Z,0.61,47.1,53.62,56.67,58.35,314,370.44,375.49,376.37,376.63,998.44,6.9,7.92,81,1
2022-01-03T13:00:00Z,0.49,46.99,50.75,51.6,52.07,320.2,372.74,374.9,375.22,375.35,997.97,7.7,8.87,76,1
2022-01-03T14:00:00Z,0.5,42.92,46.49,47.37,47.85,292.15,340.33,342.44,342.75,342.88,997.23,8.4,9.69,74,0.7
2022-01-03T15:00:00Z,0.43,46.26,48.92,48.92,48.92,317.89,368.18,369.21,369.31,369.39,998.3,8.2,9.43,74,0.7
2022-01-03T16:00:00Z,0.48,54.99,58.89,59.48,59.8,375.98,436.78,438.78,439.05,439.17,997.24,7.4,8.5,79,0.7
2022-01-03T17:00:00Z,0.48,46.59,50.49,51.46,52,317.07,369.4,371.71,372.06,372.2,997.47,7.1,7.99,81,1.61
2022-01-03T18:00:00Z,0.5,43.84,47.75,48.87,49.48,297.69,347.26,349.71,350.09,350.22,996.97,6.7,7.57,81,1.61
2022-01-03T19:00:00Z,0.48,49.9,53.67,54.39,54.79,340.58,396.07,398.13,398.42,398.55,997.43,5.9,6.52,82,1.61
2022-01-03T20:00:00Z,0.41,49.2,52.02,52.02,52.02,338.05,391.54,392.63,392.74,392.82,997.41,6.2,7.17,81,1.34
2022-01-03T21:00:00Z,0.47,57.8,62.63,63.84,64.5,393.33,458.24,461.12,461.55,461.72,996.84,6.1,7.13,80,1.34
2022-01-03T22:00:00Z,0.51,61.17,66.77,68.44,69.35,415.03,484.39,487.94,488.5,488.7,996.83,6.5,7.34,80,1.34
2022-01-03T23:00:00Z,0.43,60.6,64.08,64.08,64.08,416.38,482.27,483.61,483.75,483.85,996.63,6.6,7.61,80,1.33
2022-01-04T00:00:00Z,0.48,60.38,65.48,66.79,67.5,410.8,478.68,481.74,482.2,482.38,995.98,6.6,7.69,80,1.33
2022-01-04T01:00:00Z,0.44,61.86,65.41,65.41,65.41,425.06,492.32,493.69,493.83,493.93,995.2,6.6,7.68,82,1.33
2022-01-04T02:00:00Z,0.49,53.36,57.85,58.98,59.61,363.08,423.04,425.72,426.12,426.28,994.71,6.5,7.54,83,1.78
2022-01-04T03:00:00Z,0.47,64.19,68.66,69.28,69.63,439.08,509.93,512.18,512.48,512.62,993.88,6.6,7.55,84,1.78
2022-01-04T04:00:00Z,0.5,58.75,62.67,63.1,63.34,402.36,466.98,468.85,469.09,469.21,993.64,6.7,7.75,86,1.78
2022-01-04T05:00:00Z,0.46,62.24,65.82,65.82,65.82,427.69,495.36,496.75,496.88,496.99,993.04,6.7,7.75,86,1.69
2022-01-04T06:00:00Z,0.42,57.07,60.35,60.35,60.35,392.16,454.21,455.48,455.6,455.7,992.81,6.7,7.7,86,1.69
2022-01-04T07:00:00Z,0.55,55.04,61.76,64.6,66.16,369.24,433.95,438.91,439.75,440.01,992.43,6.7,7.69,85,1.69
2022-01-04T08:00:00Z,0.48,65.08,70.08,71.08,71.63,444.07,516.55,519.31,519.7,519.87,992.33,6.9,7.92,86,0.55
2022-01-04T09:00:00Z,0.49,67.35,73.03,74.48,75.27,458.25,533.95,537.35,537.86,538.06,992.35,6.9,7.95,86,0.55
2022-01-04T10:00:00Z,0.56,60.66,67,69.27,70.52,409.61,479.47,483.81,484.52,484.75,992.05,7.2,8.22,86,0.55
2022-01-04T11:00:00Z,0.48,57.99,61.77,62.13,62.33,397.32,460.98,462.74,462.96,463.08,991.55,7.4,8.52,85,1.94
2022-01-04T12:00:00Z,0.51,63.86,68.66,69.56,70.06,435.97,506.95,509.55,509.92,510.08,990.71,7.4,8.55,86,1.94
2022-01-04T13:00:00Z,0.46,71.69,75.81,75.81,75.81,492.62,570.56,572.16,572.31,572.43,989.95,7.7,8.72,85,1.94
2022-01-04T14:00:00Z,0.58,47.49,53.21,55.59,56.9,318.84,374.56,378.75,379.46,379.68,989.53,7.8,8.82,85,1.37
2022-01-04T15:00:00Z,0.55,44.07,48.84,50.63,51.62,297.16,348.14,351.47,352.03,352.2,989.04,7.8,8.88,84,1.37
2022-01-04T16:00:00Z,0.67,52.47,63.14,69.24,72.6,341.3,408.82,418.01,419.68,420.13,988.76,7.6,8.77,84,1.37
2022-01-04T17:00:00Z,0.61,48.76,55.39,58.44,60.11,325.45,383.69,388.79,389.67,389.93,988.62,7.6,8.58,85,1.72
2022-01-04T18:00:00Z,0.5,54.92,59.12,59.95,60.41,374.78,435.92,438.24,438.57,438.71,988.27,7.5,8.52,86,1.72
2022-01-04T19:00:00Z,0.58,55.16,62.12,65.15,66.82,369.44,434.6,439.81,440.7,440.97,987.79,7.6,8.57,85,1.72
2022-01-04T20:00:00Z,0.47,45.73,49.35,50.13,50.57,311.77,362.84,364.89,365.19,365.31,987.86,7.5,8.55,86,1.21
2022-01-04T21:00:00Z,0.54,57.86,63.76,65.81,66.94,391.11,457.54,461.52,462.17,462.39,987.31,7.7,8.74,85,1.21
2022-01-04T22:00:00Z,0.48,51.14,55.47,56.58,57.2,347.9,405.41,408.01,408.4,408.55,986.77,7.7,8.81,85,1.21
2022-01-04T23:00:00Z,0.54,48.8,53.46,54.93,55.74,330.68,386.27,389.29,389.77,389.94,985.75,7.7,8.67,85,1.6
2022-01-05T00:00:00Z,0.56,71.73,79.47,82.35,83.93,483.81,566.74,572.13,573.02,573.3,985.12,7.5,8.55,86,1.6
2022-01-05T01:00:00Z,0.46,63.05,66.68,66.68,66.68,433.27,501.82,503.22,503.36,503.46,984.37,7.3,8.43,87,1.6
2022-01-05T02:00:00Z,0.53,47.34,51.42,52.5,53.1,321.84,375.17,377.65,378.03,378.17,983.65,7.4,8.5,87,1.34
2022-01-05T03:00:00Z,0.52,43.95,47.36,48.06,48.45,299.82,348.81,350.71,350.98,351.09,982.4,7.5,8.53,87,1.34
2022-01-05T04:00:00Z,0.48,55.71,60.44,61.66,62.34,378.96,441.62,444.47,444.9,445.07,981.82,7.4,8.5,87,1.34
2022-01-05T05:00:00Z,0.51,52.68,56.42,56.99,57.31,360.16,418.42,420.34,420.6,420.72,981.76,7.6,8.55,87,1.1
2022-01-05T06:00:00Z,0.6,37.36,42.34,44.6,45.84,249.57,294.06,297.86,298.52,298.71,981.66,7.2,8.3,88,1.1
2022-01-05T07:00:00Z,0.47,37.15,40.64,41.73,42.33,251.81,294.07,296.32,296.68,296.81,981.7,7.2,8.37,88,1.1
2022-01-05T08:00:00Z,0.54,34.6,37.7,38.59,39.08,234.92,274.06,276,276.31,276.41,981.87,7.3,8.26,88,0.18
2022-01-05T09:00:00Z,0.61,45.04,51.83,55.18,57.02,298.89,353.61,359.01,359.97,360.24,981.57,8.2,9.17,84,0.18
2022-01-05T10:00:00Z,0.58,27.95,31.66,33.35,34.27,186.76,220.03,222.86,223.35,223.5,981.49,13.3,15.29,65,0.18
2022-01-05T11:00:00Z,0.41,21.67,22.91,22.91,22.91,148.89,172.45,172.93,172.98,173.01,980.95,13.3,16,58,1.2
2022-01-05T12:00:00Z,0.61,18.92,22.36,24.24,25.27,124.08,147.87,150.76,151.28,151.42,980.28,11.6,12.99,66,1.2
2022-01-05T13:00:00Z,0.69,26.07,31.79,35.15,37,168.56,202.67,207.67,208.58,208.82,979.87,11.4,12.69,68,1.2
2022-01-05T14:00:00Z,0.55,22.3,24.66,25.53,26.01,150.46,176.19,177.82,178.09,178.18,979.23,12.2,13.69,67,1.24
2022-01-05T15:00:00Z,0.38,23.86,25.23,25.23,25.23,163.97,189.92,190.45,190.5,190.54,979.42,11.9,13.34,66,1.24
2022-01-05T16:00:00Z,0.46,22.68,23.99,23.99,23.99,155.88,180.54,181.04,181.09,181.13,979.81,12.2,12.31,67,1.24
2022-01-05T17:00:00Z,0.55,20.21,23.11,24.5,25.26,134.54,158.89,161.16,161.55,161.67,980.3,9.4,10.27,74,2.73
2022-01-05T18:00:00Z,0.49,21.61,23.35,23.74,23.95,147.28,171.45,172.44,172.59,172.65,981.24,8.6,9.53,77,2.73
2022-01-05T19:00:00Z,0.53,25.95,29.46,31.07,31.95,173.22,204.19,206.88,207.35,207.49,981.93,7.6,8.35,77,2.73
2022-01-05T20:00:00Z,0.62,25.04,29.41,31.75,33.04,164.72,195.96,199.59,200.24,200.42,982.53,7.6,8.15,72,2.77
2022-01-05T21:00:00Z,0.57,12.79,15.45,16.99,17.84,83.06,99.6,101.91,102.33,102.44,983.32,7,7.69,58,2.77
2022-01-05T22:00:00Z,0.51,11.94,13.23,13.72,13.99,80.48,94.29,95.2,95.35,95.4,984.14,4.6,5.67,61,2.77
2022-01-05T23:00:00Z,0.47,13.21,13.97,13.97,13.97,90.75,105.11,105.4,105.43,105.45,984.74,4.7,5.22,59,2.67
2022-01-06T00:00:00Z,0.36,15.21,16.09,16.09,16.09,104.53,121.07,121.41,121.45,121.47,985.69,4.6,5.44,60,2.67
2022-01-06T01:00:00Z,0.46,10.36,10.95,10.95,10.95,71.17,82.44,82.67,82.69,82.71,986.25,4.3,5.11,65,2.67
2022-01-06T02:00:00Z,0.44,17.14,18.13,18.13,18.13,117.78,136.42,136.8,136.84,136.87,987.65,4.2,4.88,64,3.39
2022-01-06T03:00:00Z,0.47,14.12,15.08,15.2,15.27,96.68,112.24,112.71,112.77,112.8,988.36,3.3,3.96,66,3.39
2022-01-06T04:00:00Z,0.5,11.17,12.98,13.91,14.43,73.79,87.53,89.01,89.27,89.34,988.85,2.7,3.2,65,3.39
2022-01-06T05:00:00Z,0.52,10.04,11.12,11.52,11.74,67.71,79.31,80.06,80.18,80.22,989.56,1.7,2.37,65,3.69
2022-01-06T06:00:00Z,0.51,14.68,15.79,16,16.11,100.2,116.52,117.12,117.21,117.24,990.59,2,2.69,66,3.69
2022-01-06T07:00:00Z,0.45,7.58,8.02,8.02,8.02,52.09,60.33,60.5,60.51,60.52,991.2,1.8,2.57,67,3.69
2022-01-06T08:00:00Z,0.49,10.02,10.86,11.08,11.19,68.14,79.4,79.91,79.98,80.01,991.9,2.2,3.03,67,2.82
2022-01-06T09:00:00Z,0.52,8.91,9.8,10.1,10.27,60.24,70.45,71.04,71.14,71.17,992.95,5.2,6.66,56,2.82
2022-01-06T10:00:00Z,0.49,12.82,14.35,14.98,15.33,86.06,101.08,102.2,102.39,102.45,993.58,6.3,7.56,54,2.82
2022-01-06T11:00:00Z,0.49,11.94,13.5,14.2,14.58,79.88,94.05,95.23,95.44,95.5,993.62,8.4,9.17,48,3.51
2022-01-06T12:00:00Z,0.43,15.81,16.72,16.72,16.72,108.66,125.85,126.2,126.23,126.26,993.55,13.1,14.21,29,3.51
2022-01-06T13:00:00Z,0.49,6.74,7.72,8.19,8.45,44.86,53,53.77,53.9,53.94,993.52,14.4,16.37,7,3.51
2022-01-06T14:00:00Z,0.48,4.36,4.92,5.18,5.31,29.14,34.31,34.74,34.81,34.84,993.8,15.4,17.45,8,2.82
2022-01-06T15:00:00Z,0.41,10.13,10.71,10.71,10.71,69.61,80.62,80.85,80.87,80.89,994.02,12.4,14.63,11,2.82
2022-01-06T16:00:00Z,0.56,4.8,5.34,5.55,5.67,32.3,37.88,38.26,38.32,38.34,994.95,8.3,10.17,21,2.82
2022-01-06T17:00:00Z,0.45,10.97,11.6,11.6,11.6,75.4,87.33,87.58,87.6,87.62,995.89,6.1,7.07,37,4.1
2022-01-06T18:00:00Z,0.45,10.7,11.32,11.32,11.32,73.54,85.17,85.41,85.43,85.45,996.47,4.9,5.51,44,4.1
2022-01-06T19:00:00Z,0.66,8.46,10.67,12.05,12.81,53.77,65.33,67.33,67.7,67.8,996.91,4.1,4.6,47,4.1
